month,temperature,relative humidity,precipitation,surface pressure
2022-01,19.1,92.0,0.1,908.7
2022-02,19.1,92.0,0.0,909.2
2022-03,19.8,84.0,0.0,910.1
2022-04,18.45,83.0,0.0,911.3
2022-05,14.8,79.0,0.0,912.4
2022-06,15.4,73.0,0.0,913.1
2022-07,15.850000000000001,59.0,0.0,914.4
2022-08,16.7,56.0,0.0,914.0
2022-09,18.6,61.0,0.0,912.3
2022-10,19.8,72.0,0.0,910.7
2022-11,18.8,78.0,0.0,910.8
2022-12,20.4,86.0,0.0,910.5
2023-01,20.5,88.0,0.1,911.8
2023-02,21.8,86.0,0.0,912.6
2023-03,21.65,82.0,0.0,913.4
2023-04,19.7,81.0,0.0,912.8
2023-05,17.3,76.0,0.0,914.8
2023-06,15.8,78.0,0.0,916.1
2023-07,16.7,72.0,0.0,916.5
2023-08,18.8,69.5,0.0,915.3
2023-09,23.0,60.0,0.0,914.25
2023-10,22.6,80.0,0.0,912.2
2023-11,23.9,71.5,0.0,911.5
2023-12,23.3,76.0,0.0,911.8
